quantile,C2
0,0.7488432704296105
0.01,0.7825754249784749
0.05,0.8136797619655235
0.1,0.833266595712649
0.25,0.8738104685394561
0.5,0.9827310967442462
0.75,0.9925551048264428
0.9,0.9966777971998267
0.95,0.998222690811763
0.99,0.999460026586996
1,0.9999446795704099
