arm,MAE_nm,accepted,improved,harmed,harmful_fraction_among_accepted,fallback
E3,0.2234648283461462,0,0,0,,7200
A unprotected,0.22361280996091867,3287,2017,1270,0.38637055065409187,3913
A + first-order protection,0.21768873777736586,3168,2067,1101,0.3475378787878788,4032
A + fixed second-order protection,0.22605327279059068,3047,1887,1160,0.3807023301608139,4153
A + adaptive C2,0.21660082834614622,2976,2053,923,0.31014784946236557,4224
Final A+B,0.19463382834614618,2410,1915,495,0.2053941908713693,4790
