material,thickness_nm,n,inactive,C2_lt_0.90,C2_ge_0.90,mean_C2,median_C2,q25_C2,q75_C2
A,380,800,800,0,0,,,,
A,520,800,0,196,604,0.95193366341012,0.9852309434086697,0.9513556825127598,0.9928186719963151
A,680,800,0,188,612,0.9537245289424257,0.9852261793170534,0.9575604078255292,0.9930694859405639
B,380,800,0,300,500,0.9335244018947145,0.9782135869875614,0.863910076313206,0.9917890462237408
B,520,800,0,266,534,0.938302877427645,0.9807302573736171,0.8656985802670473,0.9923747106452501
B,680,800,0,220,580,0.9479097912002398,0.9842360025415591,0.8813683035068915,0.9929538634240576
C,380,800,800,0,0,,,,
C,520,800,800,0,0,,,,
C,680,800,0,286,514,0.9371309284685034,0.9810951980840829,0.8661188345723452,0.9922286729874409
