scenario,n,mean_AB_minus_Aonly,ci95_low,ci95_high
Gaussian,1800,-0.010600000000000004,-0.013613286026108059,-0.007956300964944266
Impulsive,1800,-0.0062,-0.008258074470355701,-0.004304766787918711
Baseline drift,1800,-0.0433,-0.05639697714211718,-0.03173680146315295
Mixed,1800,-0.027767999999999994,-0.03278650474946651,-0.022957106863509925
